code,last_name,first_name,classe,cycle,year,photo,phone
01,Harouna,Nana firdaoussi,CP,Primière,2025/2026,C:\Users\SVPS\Desktop\COURS_PRIVE\photos\Black White Bold Minimalist Music World Tour Poster.png,96968360
2,Amadou,Ibrahim,6e,Collège,2025,,901112233
3,Mariam,Abdou,CE2,Primaire,2025,,987654321
4,Salifou,Harouna,4e,Collège,2025,,909887766
5,Aïcha,Moussa,CM1,Primaire,2025,,912345678
6,Zakaria,Adamou,2nde,Lycée,2025,,934567890
7,Zakaria,Adamou,2nde,Lycée,2025,,934567890
8,Fatouma,Issa,CI,Primaire,2025,,998877665
9,Abdoul Kader,Mahamadou,CM2,Primaire,2025,,901223344
10,Rahmatou,Saley,3e,Collège,2025,,903456781
11,Oumarou,Daouda,1ère,Lycée,2025,,909112233
12,Zara,Ali,CP,Primaire,2025,,923456789
13,Moussa,Garba,CP,Collège,2025,,934455667
14,Samira,Mahamane,CE1,Primaire,2025,,978889900
15,Habi,Oumar,6e,Collège,2025,,902334455
16,Rachid,Tidjani,4e,Collège,2025,,911223344
17,Balkissa,Diallo,CM1,Primaire,2025,,955667788
18,Ibrahim,Djibo,3e,Collège,2025,,900112233
19,Safiatou,Amadou,CM2,Primaire,2025,,932112233
20,Idrissa,Mamane,5e,Collège,2025,C:\Users\SVPS\Desktop\APPLICTION DE GESTION DES COURS_PRIVE\photos\WIN_20251024_15_50_05_Pro.jpg,988776655
21,Adamou,Abdoul,1ère,Lycée,2025,,909876543
22,Nafissa,Baré,CE1,Primaire,2025,,901009988
23,Mohamed,Sani,Terminale,Lycée,2025,,933221100
24,Fati,Adamou,CE2,Primaire,2025,,923457001
25,Yacouba,Seyni,6e,Collège,2025,,922334455
26,Assia,Moussa,CI,Primaire,2025,,912300145
27,Nouridine,Harouna,3e,Collège,2025,,934500221
28,Jamila,Abdou,CM2,Primaire,2025,,907722334
29,Mahamadou,Douka,4e,Collège,2025,,944221133
30,Hadiza,Karim,Terminale,Lycée,2025,,911000998
31,Alio,Aboubacar,2nde,Lycée,2025,,934001122
32,Rakia,Issoufou,CP,Primaire;,2025,,901188776
33,Hassan,Abdallah,1ère,Lycée,2025,,907766554
34,Rabiatou,Karimou,CE1,Primaire,2025,,966512234
35,Abdoul Aziz,Adamou,5e,Collège,2025,,900334422
36,Laila,Garba,CE2,Primaire,2025,,944887766
37,Saadou,Moussa,CM1,Primaire,2025,,933441122
38,Amina,Salifou,CI,Primaire,2025,,912344566
39,Bachir,Oumarou,3e,Collège,2025,,909221144
40,Ramatoulaye,Issaka,2nde,Lycée,2025,,955100233
41,Mahamadou,Sabo,4e,Collège,2025,,900998877
